4,minecraft@gmail.com,Toyota,Sedan,2022,1000.0,45.0
4,minecraft@gmail.com,Toyota,Sedan,2021,1000.0,34.0
5,maria@gmail.com,Toyota,Suv,2021,1000.0,47.0
1,vincent12@gmail.com,Toyota,Prius,2022,1000.0,45.0
1,vincent12@gmail.com,Toyota,Prius,2020,1000.0,45.0
2,vincent12@gmail.com,Mitsubishi,Suv,2021,1500.0,56.0
3,vincent12@gmail.com,BMW,Sedan,2019,3000.0,65.0
2,vincent12@gmail.com,Mitsubishi,Sedan,2022,1500.0,51.0
3,vincent12@gmail.com,Kawasaki,Ninja,2020,2.0,70.0
1,mlbb12@gmail.com,Toyota,Prius,2020,9.0,46.0
2,mlbb12@gmail.com,Mitsubishi,Suv,2021,0.0,0.0
4,perez@gmail.com,Nissan,cheese,1000,200.0,100.0
5,perez@gmail.com,Nissan,Cheese,210,200.0,100.0
1,perez1@gmail.com,Toyota,Prius,2000,100.0,200.0
2,perez1@gmail.com,Toyota,Prius,2000,100.0,200.0
3,perez1@gmail.com,Toyota,Prius,2000,133.0,23.0
4,perez1@gmail.com,Toyota,idk,1222,2222.0,3333.0
6,perez1@gmail.com,Toyota,Prius,2000,300.0,200.0
