4,minecraft@gmail.com,Toyota,Sedan,2022,1000.0,45.0
4,minecraft@gmail.com,Toyota,Sedan,2021,1000.0,34.0
5,maria@gmail.com,Toyota,Suv,2021,1000.0,47.0
1,vincent12@gmail.com,Toyota,Prius,2022,1000.0,45.0
1,vincent12@gmail.com,Toyota,Prius,2020,1000.0,45.0
2,vincent12@gmail.com,Mitsubishi,Suv,2021,1500.0,56.0
3,vincent12@gmail.com,BMW,Sedan,2019,3000.0,65.0
2,vincent12@gmail.com,Mitsubishi,Sedan,2022,1500.0,51.0
3,vincent12@gmail.com,Kawasaki,Ninja,2020,2.0,70.0
1,mlbb12@gmail.com,Toyota,Prius,2020,9.0,46.0
2,mlbb12@gmail.com,Mitsubishi,Suv,2021,0.0,0.0
